,레시피명,재료,방법,열량,탄수화물,단백질,지방,나트륨
0,단호박 양고기볶음,"[ 2인분 ] 콜리플라워(50g), 고구마(1개), 양파(1개), 양고기(부채살, 250g), 마늘(7~8쪽), 단호박(1개), 올리브유(5ts), 바질럽드(3Ts), 바질페스토(3ts), 홀그레인 머스터드(2ts), 다진 마늘(2ts)","['콜리플라워는 송이 부분만 떼어내고, 고구마와 양파는 한입 크기로 썬다. ', '양고기는 한입 크기로 썰어 밑간한 뒤 15분간 재운다. ', '재워둔 고기에 손질한 채소와 마늘을 넣어 고루 버무리고, 중간 불로 달군 팬에 올려 고구마가 약간 익을 때까지 볶는다. ', '양념을 넣어 재료와 고루 섞는다. ', '단호박은 전자레인지에 5분간 돌리고, 익으면 윗부분을 약간 잘라낸 뒤 씨를 제거하고, 양고기와 볶은 재료를 단호박 속에 채운다. ', '찜기에 넣어 25분간 쪄낸 뒤 8등분하여 마무리한다.']",244.3,21.8,23.1,7.2,157.8
1,채소 프리타타,"2인분 기준? [가정 간편식 ] 소고기(180g), 단호박(50g), 팽이버섯(20g), 새송이버섯(25g), 느타리버섯(20g), 쌈추(10g), 적근대(10g), 배추(20g), 숙주(20g)? [추가 ] 달걀(3개=180g), 우유(75g), 식용유(26g), 소금(2g), 새싹채소(50g), 리코타 치즈(20g), 올리브유(20g)","['단호박, 팽이버섯, 새송이버섯, 느타리버섯, 쌈추, 적근대, 배추, 숙주와 소고기를 3cm 크기로 자른다.', '팬에 식용유(20g)를 두르고 중간 불에 손질한 채소와 소고기를 차례대로 볶는다.', '볼에 달걀을 풀고 소금, 우유를 넣고 섞어 달걀물을 만든다.', '타르트 틀에 식용유(6g)를 바르고 볶은 채소, 소고기를 올리고 ③을 넣는다.', '140도로 예열한 오븐에 25분 정도 구워 프리타타를 만든다.', '프리타타 위에 새싹채소와 리코타 치즈를 올린 후 올리브유를 두르고 마무리한다.']",467.2,14.8,33.3,30.6,478.6
2,고등어 라따뚜이 파스타,"2인분 기준? [가정 간편식 ] 고등어(1마리=250g), 시래기(30g), 무(20g), 대파(20g), 청양고추(20g), 양념장(75g)? [추가 ] 토마토 홀(200g), 가지(60g), 애호박(90g), 표고버섯(40g), 두부면(50g), 가다랑어포(2g), 바질 잎(2g), 식용유(20g), 물(3컵=600g)","['냄비에 물, 무, 대파를 넣고 끓으면 불을 끄고 가다랑어포를 넣고, 30분 후에 체로 걸러 육수를 만든다.', '애호박, 가지, 표고버섯은 두께 5mm 크기로 썬다. 시래기는 굵게 다진다.', '\n고등어는 흐르는 물에 씻은 후 키친타월로 물기를 제거하고, 180도로 예열한 팬에 식용유를 두르고 고등어를 껍질부터 앞뒤로 10분 동안 굽는다.', '\n고등어를 구운 팬에 남은 기름을 이용해 시래기를 볶고, 토마토 홀을 넣고 주걱으로 으깬다.', '육수(500g)와 양념장, 구운 고등어, 손질한 애호박, 가지, 표고버섯을 넣고 중간 불에서 조린다.', '\n청양고추, 두부면을 넣고 2분 정도 더 조리한 후 불을 끄고 접시에 담고, 바질 잎을 올려 마무리한다.']",420.7,13.8,24.3,29.9,551.5
3,홍시에이드,"홍시 50g, 배 20g, 탄산수 50g, 사이다 50g","['홍시를 반으로 가르고 껍질을 벗긴다.', '씨를 제거한 뒤 3등분으로 썬다.', '배는 1/4로 나눠 껍질을 벗긴다.', '믹서에 배, 홍시를 넣고 간다.', '4를 냉동실에서 살짝 얼린다.', '반쯤 얼었을 때 탄산수와 사이다를 섞는다.']",42.14,10.3,0.18,0.02,2.06
4,낙지묵은지콩나물국,"낙지 50g, 묵은지 20g, 콩나물 40g, 무 40g, 대파 5g, 마늘 5g, 국멸치 3g, 대두유 5g, 간장 1.5g, 쌀뜨물 300ml , 고춧가루 5g","['쌀뜨물과 국멸치로 육수를 우리고 멸치를 건져낸다.', '무는 나박썰기, 대파는 어슷썰기, 마늘은 다진다.', '묵은지는 물에 헹구어 짠맛을 빼주고 기름에 살짝 볶는다.', '멸치육수에 묵은지, 낙지, 고춧가루, 무, 마늘을 넣고 끓인다.', '콩나물을 넣고 국간장으로 간을 하여 끓인다.', '대파를 얹어 마무리한다.']",71.7,9.4,6.3,1.0,280.5
5,코코넛워터 토마토카레,"양파(75g), 감자(50g), 당근(40g), 닭가슴살(100g), 토마토(150g), 코코넛워터(100㎖), 우유(100㎖), 현미밥(150g), 올리브유(10g), 후춧가루(3g), 카레가루(10g), 물(3T), 그릭요거트(45g), 소금(0.5g), 올리브유(10g), 올리고당(10g), 다진 마늘(15g), 카레가루(10g), 파슬리가루(0.5g)","['양파(30g)는 다지고, 나머지 양파와 감자, 당근, 닭가슴살은 한입 크기로 썬다.', '닭가슴살은 밑간해 고루 버무려 재운다.', '끓는 물에 토마토를 넣어 20초간 데쳐 건진 뒤 껍질을 벗겨 8등분한다.', '중간 불로 달군 팬에 올리브유(10g)를 두른 뒤 다진 양파와 올리고당, 다진 마늘, 카레가루를 넣어 2분간 볶다가 손질한 토마토를 넣고 으깨듯 볶는다.', '손질한 채소와 밑간한 닭가슴살을 넣고 2분간 볶은 뒤 코코넛워터와 우유를 부어 끓인다.', '그릇에 현미밥을 담고 카레를 부은 뒤 요거트소스와 파슬리가루(0.5g)를 올려 마무리한다.']",583.9,88.6,25.2,14.3,601.2
6,치즈 단호박,"단호박(1개=800g), 달걀(1개), 맛술(1T), 우유(1T), 모차렐라치즈(30g), 그라나파다노치즈(1Ts), 아몬드 플레이크(2Ts), 꿀(1Ts), 파슬리가루(약간)","['단호박은 3mm 정도 윗부분을 도려내 씨를 제거한 뒤 전자레인지에 5분간 돌려 익힌다.', '단호박 씨를 제거한 뒤 속(50g)을 파서 덜어놓는다.', '달걀은 곱게 풀어 체에 내린 뒤 맛술, 우유, 모차렐라치즈(20g), 덜어 놓은 호박과 함께 믹서에 넣어 간다.', '속을 파낸 단호박에 간 재료를 넣은 뒤 뚜껑을 닫고 전자레인지에 8분간 돌려 익힌다.', '뚜껑을 열고 모차렐라치즈(10g)를 올려 전자레인지에 3분간 돌려 녹인다.', '단호박을 6~7등분해 그릇에 담고 꿀과 그라나파다노치즈, 아몬드 플레이크, 파슬리가루를 뿌린다.']",379.3,49.0,19.0,11.9,248.5
7,강황 투움바 파스타,"[ 2인분 ] 양파(1개), 양송이버섯(6개), 마늘(5쪽), 토마토(3개), 탈리아텔레(200g), 말린 토마토(2개), 다진 파슬리(0.5Ts), 핑크 페퍼(5알), 바질잎(2장), 바게트(약간), 물(1260ml), 무(150g), 양파(1개), 다시마(5×5cm, 2장), 올리브유(2Ts), 강황가루(2ts), 고운 고춧가루(0.5ts), 식물성 생크림(⅔컵), 두유(¼컵), 후춧가루(2ts)","['양파는 도톰하게 채 썰고, 양송이버섯은 모양대로 썰고, 마늘은 납작 썰고, 토마토는 6~8등분한다. ', '채소 육수(6컵)에 탈리아텔레를 넣고 13분간 삶아 건진다. ', '중간 불로 달군 팬에 올리브유를 두른 뒤 납작 썬 마늘을 노릇하게 익히고, 양파와 양송이버섯을 넣어 3분간 볶는다. ', '면수(1컵), 강황가루, 고운 고춧가루를 넣어 고루 섞고, 토마토를 넣어 볶다가 식물성 생크림과 두유를 넣어 끓어 오르면 말린 토마토를 넣고 1분간 끓인다. ', '삶은 탈리아텔레를 넣고, 소스가 면에 잘 배어들게 고루 볶은 뒤 후춧가루를 뿌린다. ', '그릇에 담고 다진 파슬리와 핑크 페퍼를 뿌리고, 바질잎과 바게트를 곁들여 마무리한다.']",392.5,60.4,11.7,11.6,221.7
8,깻잎 쌈두부 라자냐,"2인분 기준? [간편식 ] 쌈두부(18g), 소고기 양지(120g), 숙주(80g), 청경채(30g), 배추(60g), 당면(30g)? [추가 ] 쌈두부(1팩=100g), 모차렐라 치즈(1컵=100g), 깻잎(10g), 완숙 토마토(80g), 양파(80g), 소고기 다짐육(100g), 화이트 와인(50g), 오레가노(5g), 월계수 잎(1g), 다진 마늘(20g), 식용유(30g), 소금(5g), 후추(3g)","['껍질 벗긴 토마토는 주사위 모양으로 썰고, 양파, 배추, 청경채, 숙주는 잘게 썬다.', '팬에 소고기 양지를 구운 뒤 꺼내고, 같은 팬에 식용유를 두르고 다진 마늘과 손질한 채소를 넣고 물기가 없어질 때까지 볶는다.', '②에 소고기 다짐육을 넣어 볶다가 손질한 완숙 토마토, 월계수 잎, 화이트 와인, 오레가노를 넣어 끓이고 소금, 후추로 간하여 소스를 만든다.', '당면은 6cm 길이로 잘라 끓는 물에 7분간 삶아 ③에 넣는다.', '쌈두부 → 구운 소고기 양지 → 소스 → 모차렐라 치즈 순으로 켜켜이 올리고 180도로 예열한 오븐에 8분간 익힌다.', '깻잎을 돌돌 말아 채 썰어 올려 마무리한다.']",601.9,24.3,37.8,39.3,450.2
9,코다리 뿌리채소 들깨탕,"코다리 150g, 무 60g, 연근 20g, 호박 20g, 우엉 10g, 느타리버섯 10g, 표고버섯 10g, 대파 5g, 양파 10g, 청양고추 2g, 쑥갓 1g, 홍고추 1g, 다시멸치 1g, 다시마 1g, 들깨가루 15g, 마늘 1.5g, 생강 0.5g, 후추가루 0.5g, 천일염 0.2g","['생강과 마늘을 잘게 다진다.', '코다리를 세척 후 다진마늘, 다진생강, 소금, 후추로 밑간한다.', '냄비에 다시멸치, 다시마를 넣고 끓여 육수를 우린 뒤 건져낸다.', '무, 대파, 양파, 연근, 우엉, 호박, 느타리버섯, 표고버섯, 청양고추를 깨끗이 씻어 먹기좋은 크기로 썬다.', '육수에 대파, 청양고추, 쑥갓을 뺀 야채를 넣고 끓이다가 들깨가루와 천일염을 넣어 간 한다.', '마지막으로 코다리를 넣고 거품을 걷어가며 끓인 뒤 대파, 청양고추, 쑥갓을 올린다.']",93.33,3.64,14.75,2.2,155.11
